,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,absolute_balanced_accuracy,relative_balanced_accuracy,absolute_rmse,relative_rmse,dataset_rows,dataset_cols,runtime,type,missing_values,categorical_features,numerical_features,runtime_limit,failed
419,:autokeras,:tabular_classification,64e2278ba2615febf8d25475,albert.csv,162.92352400000001,0.0,0.0,9.0,9.0,425240,79,0.0,Binary classification,2734000,53,26,60,1
420,:evalml,:tabular_classification,64e2278ba2615febf8d25475,albert.csv,162.92352400000001,0.6544892296115135,0.9629943600567453,9.0,9.0,425240,79,14.38335,Binary classification,2734000,53,26,60,0
421,:pycaret,:tabular_classification,64e2278ba2615febf8d25475,albert.csv,162.92352400000001,0.6444948734832094,0.9482889865402581,9.0,9.0,425240,79,28.455483333333333,Binary classification,2734000,53,26,60,0
422,:autogluon,:tabular_classification,64e2278ba2615febf8d25475,albert.csv,162.92352400000001,0.6796397328567397,1.0,9.0,9.0,425240,79,65.61235,Binary classification,2734000,53,26,60,0
423,:evalml,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.0,0.0,9.0,9.0,50000,231,0.0,not available,-1,-1,-1,60,1
424,:gama,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.0,0.0,9.0,9.0,50000,231,0.0,not available,-1,-1,-1,60,1
425,:tpot,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.0,0.0,9.0,9.0,50000,231,0.0,not available,-1,-1,-1,60,1
426,:lama,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.0,0.0,9.0,9.0,50000,231,0.0,not available,-1,-1,-1,60,1
427,:pycaret,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.5,0.857998457059737,9.0,9.0,50000,231,12.7528,not available,-1,-1,-1,60,0
428,:autogluon,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.5,0.857998457059737,9.0,9.0,50000,231,60.79408333333333,not available,-1,-1,-1,60,0
429,:mljar,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.582751630712068,1.0,9.0,9.0,50000,231,61.59513333333334,not available,-1,-1,-1,60,0
430,:flaml,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.5056179775280899,0.8676388891615318,9.0,9.0,50000,231,63.425666666666665,not available,-1,-1,-1,60,0
431,:autokeras,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,0.5,0.857998457059737,9.0,9.0,50000,231,257.5579,not available,-1,-1,-1,60,0
432,:pycaret,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6807828282828282,0.9705162358701129,9.0,9.0,500,8,1.1286333333333334,Multi-class classification,0,1,7,60,0
433,:lama,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6814646464646466,0.9714882280941753,9.0,9.0,500,8,3.59335,Multi-class classification,0,1,7,60,0
434,:autokeras,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6787626262626263,0.9676362589099288,9.0,9.0,500,8,3.8602,Multi-class classification,0,1,7,60,0
435,:autogluon,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6523737373737374,0.9300165598675211,9.0,9.0,500,8,5.087133333333333,Multi-class classification,0,1,7,60,0
436,:evalml,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6623737373737373,0.9442724458204333,9.0,9.0,500,8,10.997000000000002,Multi-class classification,0,1,7,60,0
437,:mljar,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6814646464646466,0.9714882280941753,9.0,9.0,500,8,51.39581666666666,Multi-class classification,0,1,7,60,0
438,:gama,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.7014646464646465,1.0,9.0,9.0,500,8,54.31171666666667,Multi-class classification,0,1,7,60,0
439,:tpot,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6714646464646464,0.9572323421412628,9.0,9.0,500,8,60.21136666666666,Multi-class classification,0,1,7,60,0
440,:flaml,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,0.6714646464646465,0.957232342141263,9.0,9.0,500,8,62.65623333333333,Multi-class classification,0,1,7,60,0
441,:autokeras,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9035087719298246,0.9210134128166916,9.0,9.0,683,36,10.123016666666667,Multi-class classification,2337,36,0,60,0
442,:lama,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9444444444444443,0.9627421758569298,9.0,9.0,683,36,12.789883333333334,Multi-class classification,2337,36,0,60,0
443,:autogluon,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.8961988304093568,0.9135618479880775,9.0,9.0,683,36,17.61028333333333,Multi-class classification,2337,36,0,60,0
444,:evalml,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.97953216374269,0.9985096870342771,9.0,9.0,683,36,18.85645,Multi-class classification,2337,36,0,60,0
445,:pycaret,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9678362573099415,0.9865871833084947,9.0,9.0,683,36,21.647116666666665,Multi-class classification,2337,36,0,60,0
446,:tpot,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9809941520467836,1.0,9.0,9.0,683,36,21.978783333333336,Multi-class classification,2337,36,0,60,0
447,:mljar,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.8976608187134504,0.9150521609538004,9.0,9.0,683,36,49.1898,Multi-class classification,2337,36,0,60,0
448,:gama,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9532163742690059,0.9716840536512668,9.0,9.0,683,36,54.232883333333334,Multi-class classification,2337,36,0,60,0
449,:flaml,:tabular_classification,64e322fcd81d344d6360fdd4,soybean.csv,0.19709200000000002,0.9049707602339181,0.9225037257824142,9.0,9.0,683,36,60.673316666666665,Multi-class classification,2337,36,0,60,0
450,:evalml,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.0,0.0,9.0,9.0,736,20,0.0,Multi-class classification,448,6,14,60,1
451,:pycaret,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6163427012264222,0.9115710266568777,9.0,9.0,736,20,1.8263500000000001,Multi-class classification,448,6,14,60,0
452,:lama,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6496977183023696,0.9609031061957074,9.0,9.0,736,20,3.4884333333333335,Multi-class classification,448,6,14,60,0
453,:autokeras,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.5949905391765856,0.8799911730423491,9.0,9.0,736,20,5.52175,Multi-class classification,448,6,14,60,0
454,:autogluon,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6761323947370459,1.0,9.0,9.0,736,20,6.427933333333333,Multi-class classification,448,6,14,60,0
455,:mljar,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6214653563490773,0.9191474350090427,9.0,9.0,736,20,40.04716666666666,Multi-class classification,448,6,14,60,0
456,:gama,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6385313652755513,0.9443880669611786,9.0,9.0,736,20,54.187,Multi-class classification,448,6,14,60,0
457,:tpot,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.5973336740778602,0.883456670213485,9.0,9.0,736,20,60.20598333333333,Multi-class classification,448,6,14,60,0
458,:flaml,:tabular_classification,64e331e94d94f21cfb9a8708,eucalyptus.csv,0.09922700000000001,0.6475995580646743,0.9577999266201876,9.0,9.0,736,20,60.781150000000004,Multi-class classification,448,6,14,60,0
459,:pycaret,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.8360119047619048,0.9869047238813121,9.0,9.0,846,19,1.4281833333333334,Multi-class classification,0,1,18,60,0
460,:autokeras,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.7094155844155844,0.8374588776390175,9.0,9.0,846,19,4.277266666666667,Multi-class classification,0,1,18,60,0
461,:lama,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.771590909090909,0.9108563032993707,9.0,9.0,846,19,4.569249999999999,Multi-class classification,0,1,18,60,0
462,:autogluon,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.78379329004329,0.9252611070299275,9.0,9.0,846,19,5.839216666666667,Multi-class classification,0,1,18,60,0
463,:evalml,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.7605248917748918,0.8977929668785334,9.0,9.0,846,19,9.560683333333333,Multi-class classification,0,1,18,60,0
464,:mljar,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.7886904761904762,0.9310421923408605,9.0,9.0,846,19,41.925666666666665,Multi-class classification,0,1,18,60,0
465,:gama,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.8471049783549783,1.0,9.0,9.0,846,19,54.1561,Multi-class classification,0,1,18,60,0
466,:tpot,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.8419913419913421,0.9939633971062635,9.0,9.0,846,19,60.204550000000005,Multi-class classification,0,1,18,60,0
467,:flaml,:tabular_classification,64e340bd694c22c8f9cc8f2c,vehicle.csv,0.088232,0.6949675324675324,0.8204030789868727,9.0,9.0,846,19,61.0205,Multi-class classification,0,1,18,60,0
468,:pycaret,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.0,0.0,9.0,9.0,1600,65,0.0,Multi-class classification,0,1,64,60,1
469,:autokeras,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.5666666666666667,0.6433301797540208,9.0,9.0,1600,65,15.702633333333333,Multi-class classification,0,1,64,60,0
470,:lama,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.8641666666666665,0.9810785241248817,9.0,9.0,1600,65,30.056116666666664,Multi-class classification,0,1,64,60,0
471,:autogluon,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.88,0.9990539262062442,9.0,9.0,1600,65,43.83081666666667,Multi-class classification,0,1,64,60,0
472,:evalml,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.8049999999999998,0.9139072847682118,9.0,9.0,1600,65,51.2112,Multi-class classification,0,1,64,60,0
473,:gama,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.8175,0.9280983916745507,9.0,9.0,1600,65,54.38916666666667,Multi-class classification,0,1,64,60,0
474,:tpot,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.8808333333333332,1.0,9.0,9.0,1600,65,60.442249999999994,Multi-class classification,0,1,64,60,0
475,:mljar,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.008333333333333333,0.00946073793755913,9.0,9.0,1600,65,76.58016666666667,Multi-class classification,0,1,64,60,0
476,:flaml,:tabular_classification,64e34f9a8e2d699004fa7210,one-hundred-plants-margin.csv,0.802932,0.8208333333333333,0.9318826868495743,9.0,9.0,1600,65,78.68215000000001,Multi-class classification,0,1,64,60,0
477,:pycaret,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,1.0,1.0,9.0,9.0,1728,7,3.3299833333333333,Multi-class classification,0,7,0,60,0
478,:autokeras,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.3750454091363182,0.3750454091363182,9.0,9.0,1728,7,4.4473666666666665,Multi-class classification,0,7,0,60,0
479,:evalml,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.9154481881754609,0.9154481881754609,9.0,9.0,1728,7,9.835066666666668,Multi-class classification,0,7,0,60,0
480,:lama,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,1.0,1.0,9.0,9.0,1728,7,9.98625,Multi-class classification,0,7,0,60,0
481,:autogluon,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.9935064935064934,0.9935064935064934,9.0,9.0,1728,7,11.553816666666668,Multi-class classification,0,7,0,60,0
482,:gama,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.9775224775224776,0.9775224775224776,9.0,9.0,1728,7,54.17738333333333,Multi-class classification,0,7,0,60,0
483,:tpot,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.9807692307692308,0.9807692307692308,9.0,9.0,1728,7,60.26585,Multi-class classification,0,7,0,60,0
484,:mljar,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,0.2965784215784216,0.2965784215784216,9.0,9.0,1728,7,61.08465,Multi-class classification,0,7,0,60,0
485,:flaml,:tabular_classification,64e362cce0d0f390668b680d,car.csv,0.077837,1.0,1.0,9.0,9.0,1728,7,61.56921666666666,Multi-class classification,0,7,0,60,0
486,:tpot,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.0,0.0,9.0,9.0,3190,62,0.0,Multi-class classification,0,61,0,60,1
487,:pycaret,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9278123162964108,0.9278123162964108,9.0,9.0,3190,62,3.11895,Multi-class classification,0,61,0,60,0
488,:evalml,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9516977897997979,0.9516977897997979,9.0,9.0,3190,62,9.7939,Multi-class classification,0,61,0,60,0
489,:lama,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9496978381819328,0.9496978381819328,9.0,9.0,3190,62,12.873416666666666,Multi-class classification,0,61,0,60,0
490,:autokeras,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.8849079623915239,0.8849079623915239,9.0,9.0,3190,62,16.64755,Multi-class classification,0,61,0,60,0
491,:autogluon,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9518623403464349,0.9518623403464349,9.0,9.0,3190,62,17.577749999999998,Multi-class classification,0,61,0,60,0
492,:gama,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9390912518689308,0.9390912518689308,9.0,9.0,3190,62,56.62168333333333,Multi-class classification,0,61,0,60,0
493,:mljar,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,1.0,1.0,9.0,9.0,3190,62,67.89516666666667,Multi-class classification,0,61,0,60,0
494,:flaml,:tabular_classification,64e37262fcda53d80ed78735,splice.csv,0.8513999999999999,0.9515473863261317,0.9515473863261317,9.0,9.0,3190,62,68.06688333333334,Multi-class classification,0,61,0,60,0
495,:autokeras,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8714254217391564,0.9975987775594848,9.0,9.0,5000,41,3.8865666666666665,Multi-class classification,0,1,40,60,0
496,:pycaret,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8660356221360171,0.9914285909190131,9.0,9.0,5000,41,4.106033333333333,Multi-class classification,0,1,40,60,0
497,:evalml,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.869056770172271,0.9948871698319144,9.0,9.0,5000,41,7.8500499999999995,Multi-class classification,0,1,40,60,0
498,:lama,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8580835076303354,0.9823250927745032,9.0,9.0,5000,41,10.7661,Multi-class classification,0,1,40,60,0
499,:autogluon,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8735229446361216,1.0,9.0,9.0,5000,41,13.584383333333333,Multi-class classification,0,1,40,60,0
500,:gama,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8680288647753206,0.9937104344029686,9.0,9.0,5000,41,54.155499999999996,Multi-class classification,0,1,40,60,0
501,:mljar,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8661190463421464,0.9915240940842609,9.0,9.0,5000,41,58.734249999999996,Multi-class classification,0,1,40,60,0
502,:tpot,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8630561862028281,0.988017763588736,9.0,9.0,5000,41,60.228766666666665,Multi-class classification,0,1,40,60,0
503,:flaml,:tabular_classification,64e389ec190a1d331922a6c9,waveform-5000.csv,1.073228,0.8551249277486787,0.978938141235538,9.0,9.0,5000,41,64.35025,Multi-class classification,0,1,40,60,0
504,:pycaret,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9884158569708174,0.9981727166108437,9.0,9.0,5620,65,4.52685,Multi-class classification,0,1,64,60,0
505,:lama,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.983951147900845,0.993663935463899,9.0,9.0,5620,65,16.626483333333333,Multi-class classification,0,1,64,60,0
506,:evalml,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9777165310729587,0.9873677754294058,9.0,9.0,5620,65,18.353450000000002,Multi-class classification,0,1,64,60,0
507,:autokeras,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.911078495239534,0.9200719416076866,9.0,9.0,5620,65,23.086000000000002,Multi-class classification,0,1,64,60,0
508,:autogluon,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9812569123118727,0.9909431045119593,9.0,9.0,5620,65,27.12035,Multi-class classification,0,1,64,60,0
509,:mljar,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9688030580817026,0.9783663156821021,9.0,9.0,5620,65,51.73126666666667,Multi-class classification,0,1,64,60,0
510,:gama,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9856895887170689,0.9954195367929948,9.0,9.0,5620,65,54.369299999999996,Multi-class classification,0,1,64,60,0
511,:tpot,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9902252791749764,1.0,9.0,9.0,5620,65,60.227783333333335,Multi-class classification,0,1,64,60,0
512,:flaml,:tabular_classification,64e39ab90720ce02e48152dd,optdigits.csv,1.565081,0.9706356224812209,0.9802169697080679,9.0,9.0,5620,65,64.60653333333333,Multi-class classification,0,1,64,60,0
513,:autokeras,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.4378526459848839,0.4624566199254486,9.0,9.0,10218,8,5.992616666666667,not available,-1,-1,-1,60,0
514,:evalml,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.8540584796885039,0.9020500420797924,9.0,9.0,10218,8,17.494666666666667,not available,-1,-1,-1,60,0
515,:lama,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9467972283659144,1.0,9.0,9.0,10218,8,21.405266666666666,not available,-1,-1,-1,60,0
516,:pycaret,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9196226966226462,0.9712984671594688,9.0,9.0,10218,8,25.74745,not available,-1,-1,-1,60,0
517,:autogluon,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9007787161030208,0.9513955988841272,9.0,9.0,10218,8,39.14333333333333,not available,-1,-1,-1,60,0
518,:gama,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9187035351491929,0.9703276558326975,9.0,9.0,10218,8,54.38088333333334,not available,-1,-1,-1,60,0
519,:tpot,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9100588031882211,0.9611971559727731,9.0,9.0,10218,8,60.65916666666667,not available,-1,-1,-1,60,0
520,:flaml,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.9382831428915483,0.9910074879612178,9.0,9.0,10218,8,76.06686666666666,not available,-1,-1,-1,60,0
521,:mljar,:tabular_classification,64e3b4035c2a563e5d291474,artificial-characters.csv,0.390606,0.3235298388513589,0.3417097443448814,9.0,9.0,10218,8,76.1571,not available,-1,-1,-1,60,0
522,:mljar,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.0,0.0,9.0,9.0,92000,1025,0.0,Multi-class classification,0,1,1024,60,1
523,:lama,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.0,0.0,9.0,9.0,92000,1025,0.0,Multi-class classification,0,1,1024,60,1
524,:autokeras,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.0,0.0,9.0,9.0,92000,1025,0.0,Multi-class classification,0,1,1024,60,1
525,:gama,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.8704347826086958,0.9016494961436695,9.0,9.0,92000,1025,57.90321666666667,Multi-class classification,0,1,1024,60,0
526,:pycaret,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.9111956521739131,0.9438720936778697,9.0,9.0,92000,1025,61.600166666666674,Multi-class classification,0,1,1024,60,0
527,:autogluon,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.9653804347826087,1.0,9.0,9.0,92000,1025,69.52118333333333,Multi-class classification,0,1,1024,60,0
528,:tpot,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.5263586956521739,0.5452344761583066,9.0,9.0,92000,1025,74.88756666666667,Multi-class classification,0,1,1024,60,0
529,:evalml,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.9094565217391305,0.9420705961830772,9.0,9.0,92000,1025,165.79308333333333,Multi-class classification,0,1,1024,60,0
530,:flaml,:tabular_classification,64e3c86e619e7eb6befa7116,Devnagari-Script.csv,435.21487,0.7328804347826088,0.7591623036649215,9.0,9.0,92000,1025,416.7056,Multi-class classification,0,1,1024,60,0
531,:evalml,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.992067897673666,0.9974570997384448,9.0,9.0,10299,562,15.775416666666667,Multi-class classification,0,1,561,60,0
532,:autokeras,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9460298285577374,0.9511689384083444,9.0,9.0,10299,562,21.80015,Multi-class classification,0,1,561,60,0
533,:lama,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9945970587946169,1.0,9.0,9.0,10299,562,39.99545,Multi-class classification,0,1,561,60,0
534,:mljar,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9945049003705998,0.9999073409445541,9.0,9.0,10299,562,49.88938333333333,Multi-class classification,0,1,561,60,0
535,:gama,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9773976347104026,0.982707143629543,9.0,9.0,10299,562,54.792699999999996,Multi-class classification,0,1,561,60,0
536,:autogluon,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.993660729206602,0.9990585839966692,9.0,9.0,10299,562,60.648916666666665,Multi-class classification,0,1,561,60,0
537,:tpot,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9823057018876241,0.9876418728586539,9.0,9.0,10299,562,63.310849999999995,Multi-class classification,0,1,561,60,0
538,:pycaret,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9939098373750235,0.9993090453932909,9.0,9.0,10299,562,66.65916666666666,Multi-class classification,0,1,561,60,0
539,:flaml,:tabular_classification,64e4629578fd6909ac41992f,har.csv,55.540044,0.9909275675365508,0.9963105749955532,9.0,9.0,10299,562,67.5672,Multi-class classification,0,1,561,60,0
540,:mljar,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.0,0.0,9.0,9.0,13910,129,0.0,Multi-class classification,0,1,128,60,1
541,:autokeras,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9860157023719373,0.990432731608425,9.0,9.0,13910,129,8.810616666666666,Multi-class classification,0,1,128,60,0
542,:lama,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9955403036516022,1.0,9.0,9.0,13910,129,17.063033333333333,Multi-class classification,0,1,128,60,0
543,:evalml,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9931611589901883,0.9976101975453056,9.0,9.0,13910,129,19.467766666666666,Multi-class classification,0,1,128,60,0
544,:pycaret,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9953174461981642,0.9997761442177473,9.0,9.0,13910,129,23.64881666666667,Multi-class classification,0,1,128,60,0
545,:autogluon,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9936771008589225,0.9981284506655878,9.0,9.0,13910,129,24.65665,Multi-class classification,0,1,128,60,0
546,:gama,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9932151564647681,0.9976644369109864,9.0,9.0,13910,129,54.31908333333333,Multi-class classification,0,1,128,60,0
547,:flaml,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9502342922993022,0.9544910324713933,9.0,9.0,13910,129,62.74315,Multi-class classification,0,1,128,60,0
548,:tpot,:tabular_classification,64e474d341d7f9c6c10d294b,gas-drift.csv,17.279533,0.9933535407296336,0.9978034410922916,9.0,9.0,13910,129,63.49853333333333,Multi-class classification,0,1,128,60,0
549,:flaml,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.0,0.0,9.0,9.0,20000,17,0.0,Multi-class classification,0,1,16,60,1
550,:mljar,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.0,0.0,9.0,9.0,20000,17,0.0,Multi-class classification,0,1,16,60,1
551,:lama,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.0,0.0,9.0,9.0,20000,17,0.0,Multi-class classification,0,1,16,60,1
552,:pycaret,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.9740897000592751,0.9923552029326406,9.0,9.0,20000,17,10.92165,Multi-class classification,0,1,16,60,0
553,:autokeras,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.8173179248666622,0.8326437443514557,9.0,9.0,20000,17,19.286166666666666,Multi-class classification,0,1,16,60,0
554,:evalml,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.940947234134719,0.958591270826337,9.0,9.0,20000,17,51.27218333333334,Multi-class classification,0,1,16,60,0
555,:gama,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.9637653728299884,0.981837280566622,9.0,9.0,20000,17,54.75253333333333,Multi-class classification,0,1,16,60,0
556,:tpot,:tabular_classification,64e487031b2e424a26664d35,letter.csv,1.412667,0.9680237738844326,0.9861755324158042,9.0,9.0,20000,17,60.828833333333336,Multi-class classification,0,1,16,60,0
